Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
321,552,231,0,Andaman and Nicobar Islands,0,552,552,9697,552,29,6,0,22/01/2021
5358,13633,8275,3773,Andaman and Nicobar Islands,1,13632,17406,20280,13633,669,31,0,22/03/2021
38081,83233,45145,8600,Andaman and Nicobar Islands,0,91833,91833,83233,83233,4200,42,7,22/04/2021
578,920,342,0,Andaman and Nicobar Islands,0,920,920,10694,920,32,9,0,23/01/2021
5642,14213,8571,4117,Andaman and Nicobar Islands,1,14212,18330,20813,14213,684,31,0,23/03/2021
38978,85201,46215,8965,Andaman and Nicobar Islands,0,94166,94166,85201,85201,4200,42,8,23/04/2021
609,966,357,0,Andaman and Nicobar Islands,0,966,966,12398,966,38,9,0,24/01/2021
5728,14377,8649,4460,Andaman and Nicobar Islands,1,14376,18837,20966,14377,691,32,0,24/03/2021
39679,86796,47109,9297,Andaman and Nicobar Islands,0,96093,96093,86796,86796,3900,37,8,24/04/2021
1072,1519,447,0,Andaman and Nicobar Islands,0,1519,1519,13051,1519,43,10,0,25/01/2021
5884,14677,8793,4680,Andaman and Nicobar Islands,1,14676,19357,21264,14677,696,32,0,25/03/2021
40146,87865,47711,9527,Andaman and Nicobar Islands,0,97392,97392,87865,87865,3500,35,8,25/04/2021
5981,14905,8924,4871,Andaman and Nicobar Islands,1,14904,19776,21468,14905,713,32,0,26/03/2021
40786,89290,48496,9819,Andaman and Nicobar Islands,0,99109,99109,89290,89290,3500,34,8,26/04/2021
6121,15205,9084,5080,Andaman and Nicobar Islands,1,15204,20285,21759,15205,716,32,0,27/03/2021
41330,90454,49116,10117,Andaman and Nicobar Islands,0,100571,100571,90454,90454,3500,34,8,27/04/2021
1393,1956,563,0,Andaman and Nicobar Islands,0,1956,1956,13454,1956,48,10,0,28/01/2021
1436,2024,588,0,Andaman and Nicobar Islands,0,2024,2024,13564,2024,50,10,0,29/01/2021
1469,2060,591,0,Andaman and Nicobar Islands,0,2060,2060,13609,2060,51,10,0,30/01/2021
6251,15503,9252,5155,Andaman and Nicobar Islands,1,15502,20658,22043,15503,748,32,0,30/03/2021
6275,15547,9272,5157,Andaman and Nicobar Islands,1,15546,20704,22106,15547,854,32,0,31/03/2021
92862,133642,40763,0,Andhra Pradesh,7925,125717,133642,474340,133642,10327,1843,17,01/02/2021
1112003,2297625,1185411,403751,Andhra Pradesh,404484,1893141,2701376,2742748,2297625,182605,6511,211,01/04/2021
92864,133646,40765,0,Andhra Pradesh,7925,125721,133646,474845,133646,11480,2392,17,02/02/2021
286947,559569,272575,142466,Andhra Pradesh,67418,492151,702035,1007956,559569,44866,3900,47,02/03/2021
1140150,2354778,1214408,408955,Andhra Pradesh,424101,1930677,2763733,2793548,2354778,183768,6642,220,02/04/2021
105152,161302,56129,0,Andhra Pradesh,10893,150409,161302,507183,161302,12258,2490,21,03/02/2021
293510,577662,284104,146457,Andhra Pradesh,69578,508084,724119,1022498,577662,51667,3942,48,03/03/2021
1178736,2430834,1251872,416786,Andhra Pradesh,445869,1984965,2847620,2880422,2430834,184802,6732,226,03/04/2021
116449,188704,72231,0,Andhra Pradesh,13959,174745,188704,532501,188704,13539,2591,24,04/02/2021
300746,596324,295529,153121,Andhra Pradesh,71701,524623,749445,1038438,596324,69948,4470,49,04/03/2021
1269318,2621707,1352129,425861,Andhra Pradesh,546389,2501179,3047568,2621707,2621707,139081,922,260,04/04/2021
128708,218899,90167,0,Andhra Pradesh,17464,201435,218899,569020,218899,14549,2673,24,05/02/2021
310748,620332,309536,164927,Andhra Pradesh,74476,545856,785259,1060519,620332,82741,4633,48,05/03/2021
1313862,2706804,1392670,436010,Andhra Pradesh,567792,2575022,3142814,2706804,2706804,407860,2470,272,05/04/2021
139953,245938,105960,0,Andhra Pradesh,20484,225454,245938,597303,245938,15374,2722,25,06/02/2021
324908,653058,328100,183119,Andhra Pradesh,78593,574465,836177,1090348,653058,90238,4767,50,06/03/2021
1344250,2764322,1419795,443595,Andhra Pradesh,584072,2623845,3207917,2764322,2764322,372084,2274,277,06/04/2021
141043,249205,108137,0,Andhra Pradesh,20627,228578,249205,599444,249205,15966,2772,25,07/02/2021
324983,653146,328113,183191,Andhra Pradesh,78617,574529,836337,1090442,653146,92172,4800,50,07/03/2021
1410248,2890332,1479792,461678,Andhra Pradesh,619956,2732054,3352010,2890332,2890332,416382,2308,292,07/04/2021
146839,263588,116724,0,Andhra Pradesh,23315,240273,263588,626793,263588,16965,2800,25,08/02/2021
340859,688936,348024,197239,Andhra Pradesh,82883,606053,886175,1124828,688936,103973,5022,53,08/03/2021
1478742,3020007,1540961,476360,Andhra Pradesh,652047,2844320,3496367,3020007,3020007,425051,2309,304,08/04/2021
151194,275654,124433,0,Andhra Pradesh,26245,249409,275654,652813,275654,17614,2826,27,09/02/2021
357165,725040,367817,210304,Andhra Pradesh,87054,637986,935344,1159541,725040,111852,5064,58,09/03/2021
1508662,3081066,1572089,490040,Andhra Pradesh,665935,2905171,3571106,3081066,3081066,315795,2000,315,09/04/2021
155314,286401,131060,0,Andhra Pradesh,29230,257171,286401,680525,286401,18589,2865,27,10/02/2021
372943,760122,387116,219281,Andhra Pradesh,91219,668903,979403,1193233,760122,140665,5072,63,10/03/2021
1610286,3281351,1670720,521886,Andhra Pradesh,688816,3114421,3803237,3281351,3281351,415755,2308,345,10/04/2021
158721,294574,135823,0,Andhra Pradesh,31656,262918,294574,709960,294574,19437,2914,30,11/02/2021
376065,767441,391313,220756,Andhra Pradesh,92697,674744,988197,1200486,767441,146172,5074,63,11/03/2021
1652442,3362926,1710124,529533,Andhra Pradesh,716938,3175521,3892459,3362926,3362926,374351,1465,360,11/04/2021
162400,303031,140600,0,Andhra Pradesh,33536,269495,303031,751986,303031,20646,2934,31,12/02/2021
395468,809337,413804,231454,Andhra Pradesh,98371,710966,1040791,1241737,809337,151935,5079,65,12/03/2021
1660680,3380423,1719378,533246,Andhra Pradesh,728993,3184676,3913669,3380423,3380423,314600,1984,365,12/04/2021
169422,313507,144054,6233,Andhra Pradesh,34633,278874,319740,794518,313507,22222,2959,31,13/02/2021
413896,848663,434697,237312,Andhra Pradesh,103816,744847,1085975,1280582,848663,154927,5081,70,13/03/2021
1662197,3383754,1721192,534765,Andhra Pradesh,729750,3188769,3918519,3383754,3383754,182750,1357,365,13/04/2021
169423,313509,144055,6234,Andhra Pradesh,34634,278875,319743,798170,313509,22755,2965,31,14/02/2021
414258,849416,435088,237369,Andhra Pradesh,103935,745481,1086785,1280618,849416,155413,5081,70,14/03/2021
1971969,3973533,2001124,585223,Andhra Pradesh,925165,3633591,4558756,3973533,3973533,1150180,3403,440,14/04/2021
180470,329041,148538,16789,Andhra Pradesh,35388,293653,345830,852081,329041,23889,2995,33,15/02/2021
446096,917600,471419,246970,Andhra Pradesh,114467,803133,1164570,1348652,917600,159489,5086,85,15/03/2021
1986583,4003901,2016874,593541,Andhra Pradesh,939760,3657682,4597442,4003901,4003901,260050,1633,444,15/04/2021
3359,4216,857,0,Andhra Pradesh,0,4216,4216,277023,4216,541,339,0,16/01/2021
191072,344146,153041,26734,Andhra Pradesh,36414,307732,370880,913690,344146,25140,3012,33,16/02/2021
475468,978626,503066,258055,Andhra Pradesh,123828,854798,1236681,1409126,978626,162515,5089,92,16/03/2021
7374,9251,1876,0,Andhra Pradesh,0,9251,9251,277071,9251,1025,444,1,17/01/2021
204789,364844,160016,38007,Andhra Pradesh,37477,327367,402851,965504,364844,26455,3046,39,17/02/2021
506340,1043371,536937,268383,Andhra Pradesh,135237,908134,1311754,1473561,1043371,163323,5092,94,17/03/2021
1989380,4009940,2020113,597920,Andhra Pradesh,944014,3663846,4607860,4009940,4009940,83450,597,447,17/04/2021
9260,12234,2974,0,Andhra Pradesh,0,12234,12234,272214,12234,1458,581,0,18/01/2021
198938,359785,160812,54253,Andhra Pradesh,38015,321770,414038,917214,359785,27439,3102,35,18/02/2021
