Sum of Female(Individuals Vaccinated),Sum of First Dose Administered,Sum of Male(Individuals Vaccinated),Sum of Second Dose Administered,State,Sum of Total Covaxin Administered,Sum of Total CoviShield Administered,Sum of Total Doses Administered,Sum of Total Individuals Registered,Sum of Total Individuals Vaccinated,Sum of Total Sessions Conducted,Sum of Total Sites ,Sum of Transgender(Individuals Vaccinated),Updated On
778533,1706767,928141,434278,Gujarat,248431,1458336,2141045,1848257,1706767,94269,6322,93,10/03/2021
3780467,7982633,4201334,1073245,Gujarat,961536,8094342,9055878,7982633,7982633,935843,6038,832,10/04/2021
317662,726174,408466,0,Gujarat,204112,522062,726174,928258,726174,17344,4052,46,11/02/2021
782854,1715866,932918,435497,Gujarat,248640,1467226,2151363,1857436,1715866,96181,6370,94,11/03/2021
3860292,8155231,4294087,1103628,Gujarat,972503,8286356,9258859,8155231,8155231,972497,6260,852,11/04/2021
326839,749435,422549,0,Gujarat,211116,538319,749435,942230,749435,18083,4100,47,12/02/2021
849327,1849842,1000415,485392,Gujarat,255767,1594075,2335234,1994592,1849842,101344,6475,100,12/03/2021
3946587,8342548,4395081,1154965,Gujarat,981293,8516220,9497513,8342548,8342548,1023198,6969,880,12/04/2021
330883,759799,428869,2,Gujarat,213883,545916,759801,954072,759799,18603,4128,47,13/02/2021
901881,1954742,1052756,513975,Gujarat,258755,1695987,2468717,2100156,1954742,105097,6530,105,13/03/2021
4019052,8501205,4481244,1202153,Gujarat,984510,8718848,9703358,8501205,8501205,932485,6404,909,13/04/2021
331397,761549,430105,6,Gujarat,214455,547094,761555,960525,761549,19118,4138,47,14/02/2021
906560,1964307,1057639,515407,Gujarat,258884,1705423,2479714,2109930,1964307,107647,6657,108,14/03/2021
4074221,8622576,4547426,1244211,Gujarat,987663,8879124,9866787,8622576,8622576,989159,6837,929,14/04/2021
337482,774751,437222,8542,Gujarat,215562,559189,783293,971641,774751,19750,4153,47,15/02/2021
971366,2094010,1122529,540451,Gujarat,261240,1832770,2634461,2243388,2094010,111927,6928,115,15/03/2021
4120607,8728318,4606765,1298371,Gujarat,992251,9034438,10026689,8728318,8728318,978239,6765,946,15/04/2021
6400,1146,77814,0,Gujarat,77814,14486,31413,391120,46398,107,95,63,16/01/2021
342111,784610,442452,14686,Gujarat,216205,568405,799296,985010,784610,20206,4182,47,16/02/2021
1035235,2222866,1187499,564874,Gujarat,263329,1959537,2787740,2373731,2222866,115925,7160,132,16/03/2021
4157816,8814264,4655481,1351036,Gujarat,998071,9167229,10165300,8814264,8814264,1014593,6967,967,16/04/2021
1195,2313,1118,0,Gujarat,14,2299,2313,427707,2313,351,189,0,17/01/2021
344545,789722,445130,16703,Gujarat,217132,572590,806425,999923,789722,20766,4213,47,17/02/2021
1053007,2260205,1207060,574765,Gujarat,264184,1996021,2834970,2410425,2260205,121667,8013,138,17/03/2021
4204581,8921355,4715787,1415453,Gujarat,1006242,9330566,10336808,8921355,8921355,940003,6505,987,17/04/2021
1111,2182,1071,0,Gujarat,15,2167,2182,406398,2182,598,287,0,18/01/2021
332846,773109,440215,26414,Gujarat,218356,554753,799523,976418,773109,21378,4239,48,18/02/2021
1138364,2431666,1293143,591203,Gujarat,272162,2159504,3022869,2586253,2431666,128058,8750,159,18/03/2021
4236432,8991639,4754203,1458925,Gujarat,1010942,9439622,10450564,8991639,8991639,949451,6668,1004,18/04/2021
2430,4842,2412,0,Gujarat,15,4827,4842,436502,4842,700,313,0,19/01/2021
352890,807835,454897,35981,Gujarat,218748,589087,843816,1022716,807835,22091,4267,48,19/02/2021
1224188,2603435,1379077,603923,Gujarat,281706,2321729,3207358,2763735,2603435,139023,9845,170,19/03/2021
4277189,9083040,4804830,1537088,Gujarat,1020152,9599976,10620128,9083040,9083040,1029983,7218,1021,19/04/2021
2451,4877,2426,0,Gujarat,18,4859,4877,441359,4877,932,409,0,20/01/2021
353927,810715,456740,58542,Gujarat,219211,591504,869257,1024120,810715,22510,4286,48,20/02/2021
1335713,2824065,1488163,614038,Gujarat,299438,2524627,3438103,2988074,2824065,153285,10643,189,20/03/2021
4320718,9181042,4859276,1625437,Gujarat,1035224,9771255,10806479,9181042,9181042,966204,6823,1048,20/04/2021
4226,8350,4124,0,Gujarat,23,8327,8350,449268,8350,1125,501,0,21/01/2021
354139,810973,456786,59337,Gujarat,219211,591762,870310,1025350,810973,22809,4294,48,21/02/2021
1439423,3028137,1588502,616736,Gujarat,328112,2700025,3644873,3189211,3028137,162839,11104,212,21/03/2021
4352167,9250895,4897672,1686940,Gujarat,1043714,9894121,10937835,9250895,9250895,964950,6858,1056,21/04/2021
6848,13183,6335,0,Gujarat,27,13156,13183,460257,13183,1622,854,0,22/01/2021
355038,812914,457828,72085,Gujarat,219453,593461,884999,1025755,812914,23378,4311,48,22/02/2021
1523207,3193375,1669935,623255,Gujarat,350518,2842857,3816630,3364529,3193375,171892,11684,233,22/03/2021
4387652,9328416,4939698,1769660,Gujarat,1063478,10034598,11098076,9328416,9328416,1000556,6996,1066,22/04/2021
25892,44873,18980,0,Gujarat,31,44842,44873,474762,44873,1724,891,1,23/01/2021
356362,815413,459003,77050,Gujarat,219623,595790,892463,1026791,815413,24005,4317,48,23/02/2021
1655815,3450672,1794600,630637,Gujarat,397089,3053583,4081309,3619161,3450672,180238,12119,257,23/03/2021
4424885,9412213,4986233,1853911,Gujarat,1085356,10180768,11266124,9412213,9412213,963281,6677,1095,23/04/2021
26728,46456,19727,0,Gujarat,33,46423,46456,477088,46456,1901,965,1,24/01/2021
357490,817727,460189,78697,Gujarat,219778,597949,896424,1027162,817727,24982,4326,48,24/02/2021
1744108,3623603,1879211,635450,Gujarat,431328,3192275,4259053,3794975,3623603,190509,12614,284,24/03/2021
4462353,9495699,5032232,1940550,Gujarat,1104672,10331577,11436249,9495699,9495699,796685,5524,1114,24/04/2021
35944,62496,26549,0,Gujarat,35,62461,62496,485891,62496,2019,1005,3,25/01/2021
358593,819845,461204,124015,Gujarat,219919,599926,943860,1027638,819845,25890,4340,48,25/02/2021
1858996,3852063,1992753,639827,Gujarat,464685,3387378,4491890,4027108,3852063,206874,13234,314,25/03/2021
4487467,9549793,5061199,1988068,Gujarat,1117611,10420250,11537861,9549793,9549793,599070,3852,1127,25/04/2021
36060,62729,26666,0,Gujarat,38,62691,62729,487893,62729,2188,1094,3,26/01/2021
359584,821729,462097,167586,Gujarat,220042,601687,989315,941512,821729,26143,4350,48,26/02/2021
1975203,4085850,2110301,644403,Gujarat,494290,3591560,4730253,4267286,4085850,219176,13468,346,26/03/2021
4526440,9634190,5106604,2086642,Gujarat,1133157,10587675,11720832,9634190,9634190,918371,6488,1146,26/04/2021
39679,68817,29135,0,Gujarat,36,68781,68817,496760,68817,3411,1859,3,27/01/2021
2095112,4330566,2235080,647784,Gujarat,501155,3829411,4978350,4512682,4330566,229347,13586,374,27/03/2021
4564947,9718868,5152760,2182385,Gujarat,1147759,10753494,11901253,9718868,9718868,891606,6256,1161,27/04/2021
81152,132621,51456,0,Gujarat,71,132550,132621,521196,132621,4847,2411,13,28/01/2021
359598,821783,462137,167586,Gujarat,220079,601704,989369,941513,821783,28862,4690,48,28/02/2021
2134893,4416669,2281395,648451,Gujarat,501657,3915012,5065120,4599073,4416669,234274,13635,381,28/03/2021
118753,187038,68265,0,Gujarat,77,186961,187038,545239,187038,5520,2523,20,29/01/2021
2141961,4433352,2291009,649088,Gujarat,501710,3931642,5082440,4616133,4433352,237710,13707,382,29/03/2021
134160,211551,77371,0,Gujarat,92,211459,211551,563802,211551,5715,2552,20,30/01/2021
2231922,4617971,2385645,669775,Gujarat,502819,4115152,5287746,4804797,4617971,247966,13846,404,30/03/2021
141964,251207,109220,0,Gujarat,10435,240772,251207,573906,251207,5975,2586,23,31/01/2021
2317304,4802796,2485054,693201,Gujarat,503683,4299113,5495997,4993475,4802796,258624,14091,438,31/03/2021
54844,96304,41457,0,Haryana,3567,92737,96304,238624,96304,3067,1125,3,01/02/2021
664455,1369055,704480,151530,Haryana,199154,1169901,1520585,1526836,1369055,56140,3984,120,01/04/2021
55310,97213,41900,0,Haryana,3567,93646,97213,240357,97213,3169,1130,3,02/02/2021
92198,225787,133584,64929,Haryana,31681,194106,290716,352377,225787,9050,1714,5,02/03/2021
710701,1460950,750119,154894,Haryana,202390,1258560,1615844,1617677,1460950,59899,4022,130,02/04/2021
56425,99192,42764,0,Haryana,3636,95556,99192,243930,99192,3398,1163,3,03/02/2021
93638,229802,136159,66100,Haryana,32541,197261,295902,356144,229802,11173,1811,5,03/03/2021
732909,1506120,773071,156753,Haryana,203568,1302552,1662873,1663614,1506120,62192,4043,140,03/04/2021
58632,103334,44699,0,Haryana,3827,99507,103334,251636,103334,3539,1190,3,04/02/2021
98312,241858,143539,69706,Haryana,36185,205673,311564,367874,241858,13709,1894,7,04/03/2021
795225,1639535,844132,161076,Haryana,236106,1564505,1800611,1639535,1639535,116450,899,178,04/04/2021
59915,107280,47361,0,Haryana,3853,103427,107280,261964,107280,3695,1225,4,05/02/2021
103504,254547,151035,72651,Haryana,38257,216290,327198,380473,254547,16083,1931,8,05/03/2021
834174,1717234,882871,164930,Haryana,238299,1643865,1882164,1717234,1717234,213401,1594,189,05/04/2021
60380,108966,48582,0,Haryana,4114,104852,108966,267166,108966,3890,1284,4,06/02/2021
106712,262058,155338,74423,Haryana,39516,222542,336481,387796,262058,18695,1961,8,06/03/2021
863248,1774869,911424,167327,Haryana,239555,1702641,1942196,1774869,1774869,163560,1228,197,06/04/2021
61089,110591,49498,0,Haryana,4410,106181,110591,275943,110591,4140,1361,4,07/02/2021
107130,263037,155899,74488,Haryana,39918,223119,337525,388812,263037,20207,1977,8,07/03/2021
902869,1855846,952775,172325,Haryana,241762,1786409,2028171,1855846,1855846,136961,955,202,07/04/2021
68448,140415,71963,0,Haryana,11300,129115,140415,288925,140415,4261,1385,4,08/02/2021
116421,285193,168761,79897,Haryana,44751,240442,365090,411310,285193,21567,2021,11,08/03/2021
944092,1939723,995409,178687,Haryana,243696,1874714,2118410,1939723,1939723,189132,1381,222,08/04/2021
71885,157055,85166,0,Haryana,15199,141856,157055,299870,157055,4412,1406,4,09/02/2021
125408,306870,181449,88350,Haryana,49598,257272,395220,432781,306870,22934,2054,13,09/03/2021
985564,2024825,1039028,187427,Haryana,248469,1963783,2212252,2024825,2024825,207931,1529,233,09/04/2021
73971,164151,90176,0,Haryana,16774,147377,164151,310525,164151,4621,1423,4,10/02/2021
129188,316224,187023,91721,Haryana,51918,264306,407945,442170,316224,24483,2079,13,10/03/2021
1016710,2088650,1071694,194612,Haryana,253295,2029967,2283262,2088650,2088650,173950,1254,246,10/04/2021
75660,171926,96262,0,Haryana,18715,153211,171926,321695,171926,4797,1447,4,11/02/2021
132182,323268,191073,93832,Haryana,54057,269211,417100,449013,323268,25620,2136,13,11/03/2021
1063953,2181488,1117273,200626,Haryana,258387,2123727,2382114,2181488,2181488,319191,2183,262,11/04/2021
76541,176310,99765,0,Haryana,19572,156738,176310,329934,176310,4913,1459,4,12/02/2021
145944,354375,208417,100424,Haryana,61172,293203,454799,480722,354375,26691,2204,14,12/03/2021
1127642,2307539,1179606,218295,Haryana,270088,2255746,2525834,2307539,2307539,295422,2187,291,12/04/2021
77201,178067,100862,590,Haryana,19916,158151,178657,334134,178067,5014,1466,4,13/02/2021
152604,368599,215980,102711,Haryana,64629,303970,471310,495122,368599,28212,2385,15,13/03/2021
1183535,2421185,1237344,236085,Haryana,284223,2373047,2657270,2421185,2421185,261440,2041,306,13/04/2021
77205,178074,100865,590,Haryana,19916,158158,178664,334690,178074,5213,1474,4,14/02/2021
154307,372280,217958,103045,Haryana,66016,306264,475325,499037,372280,29575,2588,15,14/03/2021
1243893,2544240,1300023,260744,Haryana,305886,2499098,2804984,2544240,2544240,307328,2345,324,14/04/2021
79005,185578,106569,2904,Haryana,22657,162921,188482,344457,185578,5299,1480,4,15/02/2021
209137,484472,275310,112114,Haryana,106028,378444,596586,616876,484472,31496,2702,25,15/03/2021
1268557,2596134,1327245,277420,Haryana,315598,2557956,2873554,2596134,2596134,217708,1550,332,15/04/2021
844,1864,1020,0,Haryana,113,1751,1864,130131,1864,97,82,0,16/01/2021
79296,186539,107239,3658,Haryana,22754,163785,190197,347685,186539,5383,1484,4,16/02/2021
246404,559527,313086,117343,Haryana,127495,432032,676870,690960,559527,32967,2758,37,16/03/2021
1297497,2657655,1359818,299456,Haryana,326233,2630878,2957111,2657655,2657655,235504,1752,340,16/04/2021
927,2069,1142,0,Haryana,113,1956,2069,130815,2069,299,208,0,17/01/2021
80481,189505,109020,6058,Haryana,23088,166417,195563,351804,189505,5635,1495,4,17/02/2021
254506,577251,322708,120033,Haryana,131508,445743,697284,708374,577251,34454,2888,37,17/03/2021
1319663,2706244,1386238,316382,Haryana,333602,2689024,3022626,2706244,2706244,172100,1307,343,17/04/2021
2606,5360,2754,0,Haryana,231,5129,5360,131608,5360,448,294,0,18/01/2021
81216,193238,112018,12794,Haryana,23808,169430,206032,335205,193238,5895,1499,4,18/02/2021
287854,643349,355446,123665,Haryana,143772,499577,767014,776841,643349,36232,3049,49,18/03/2021
1335205,2740333,1404779,325532,Haryana,339345,2726520,3065865,2740333,2740333,268400,1865,349,18/04/2021
6136,11728,5591,0,Haryana,514,11214,11728,138407,11728,617,396,1,19/01/2021
85189,201383,116190,16787,Haryana,24776,176607,218170,362383,201383,6139,1501,4,19/02/2021
316071,699947,383822,127031,Haryana,151886,548061,826978,838507,699947,37679,3136,54,19/03/2021
1364349,2804924,1440213,357285,Haryana,354736,2807473,3162209,2804924,2804924,250560,1842,362,19/04/2021
6411,12354,5942,0,Haryana,531,11823,12354,141247,12354,869,533,1,20/01/2021
86115,204604,118485,19253,Haryana,25434,179170,223857,362891,204604,6317,1507,4,20/02/2021
327134,722013,394825,128531,Haryana,154427,567586,850544,862105,722013,39315,3303,54,20/03/2021
1389297,2858633,1468968,382699,Haryana,370276,2871056,3241332,2858633,2858633,228150,1687,368,20/04/2021
11614,21411,9796,0,Haryana,758,20653,21411,152254,21411,1109,645,1,21/01/2021
86120,204756,118632,19469,Haryana,25582,179174,224225,364092,204756,6517,1529,4,21/02/2021
329954,727821,397813,128702,Haryana,155362,572459,856523,868381,727821,41213,3396,54,21/03/2021
1404071,2890194,1485750,397220,Haryana,380372,2907042,3287414,2890194,2890194,214974,1495,373,21/04/2021
18718,33730,15011,0,Haryana,1254,32476,33730,160128,33730,1403,776,1,22/01/2021
87149,209690,122537,35101,Haryana,27741,181949,244791,364197,209690,6896,1542,4,22/02/2021
403428,869066,465574,133581,Haryana,168242,700824,1002647,1026538,869066,42805,3490,64,22/03/2021
1422112,2928139,1505643,415867,Haryana,393076,2950930,3344006,2928139,2928139,217940,1570,384,22/04/2021
24097,43350,19252,0,Haryana,1518,41832,43350,172853,43350,1747,884,1,23/01/2021
87631,212356,124720,45400,Haryana,28723,183633,257756,364383,212356,7097,1551,5,23/02/2021
447427,953329,505829,135796,Haryana,176333,776996,1089125,1095268,953329,43633,3520,73,23/03/2021
1448398,2983811,1535024,445927,Haryana,406664,3023074,3429738,2983811,2983811,208280,1538,389,23/04/2021
24776,44934,20157,0,Haryana,1772,43162,44934,178813,44934,2087,996,1,24/01/2021
87794,213246,125447,47090,Haryana,29104,184142,260336,364638,213246,7544,1600,5,24/02/2021
456128,971163,514962,137066,Haryana,178787,792376,1108229,1112569,971163,44711,3544,73,24/03/2021
1471238,3032220,1560587,470541,Haryana,416043,3086718,3502761,3032220,3032220,163528,1346,395,24/04/2021
41624,72277,30651,0,Haryana,2897,69380,72277,197730,72277,2116,1004,2,25/01/2021
89273,217574,128296,58366,Haryana,30031,187543,275940,364774,217574,7733,1615,5,25/02/2021
481447,1021471,539946,139635,Haryana,184064,837407,1161106,1163246,1021471,45958,3568,78,25/03/2021
1484399,3059704,1574902,480171,Haryana,421983,3117892,3539875,3059704,3059704,108570,958,403,25/04/2021
41761,72583,30820,0,Haryana,2898,69685,72583,200702,72583,2205,1030,2,26/01/2021
89522,218507,128980,61666,Haryana,30352,188155,280173,345304,218507,7834,1617,5,26/02/2021
505920,1069220,563217,141742,Haryana,189021,880199,1210962,1213324,1069220,47168,3601,83,26/03/2021
1501681,3096107,1594014,498962,Haryana,432816,3162253,3595069,3096107,3096107,258089,1968,412,26/04/2021
46000,80541,34538,0,Haryana,3093,77448,80541,207596,80541,2445,1070,3,27/01/2021
516636,1090223,573504,142590,Haryana,190681,899542,1232813,1235036,1090223,48322,3658,83,27/03/2021
1513879,3122680,1608384,512225,Haryana,442538,3192367,3634905,3122680,3122680,202500,1575,417,27/04/2021
49743,87153,37407,0,Haryana,3377,83776,87153,217304,87153,2859,1107,3,28/01/2021
89526,218515,128984,61666,Haryana,30352,188163,280181,345325,218515,8055,1642,5,28/02/2021
518274,1093443,575086,142646,Haryana,191411,902032,1236089,1237983,1093443,49059,3689,83,28/03/2021
53117,92685,39565,0,Haryana,3497,89188,92685,228183,92685,2986,1120,3,29/01/2021
518564,1093992,575345,142658,Haryana,191784,902208,1236650,1238489,1093992,49576,3726,83,29/03/2021
54382,95143,40758,0,Haryana,3566,91577,95143,233380,95143,3013,1122,3,30/01/2021
579475,1207369,627792,145892,Haryana,194169,1013200,1353261,1355097,1207369,51452,3858,102,30/03/2021
54406,95245,40836,0,Haryana,3566,91679,95245,234640,95245,3038,1124,3,31/01/2021
626057,1293898,667726,148288,Haryana,197078,1096820,1442186,1442333,1293898,53362,3917,115,31/03/2021
21516,28464,6948,0,Himachal Pradesh,0,28464,28464,86145,28464,889,410,0,01/02/2021
205123,411745,206594,88963,Himachal Pradesh,83,411662,500708,448536,411745,21673,2273,28,01/04/2021
25942,34218,8276,0,Himachal Pradesh,0,34218,34218,87658,34218,978,435,0,02/02/2021
54561,104128,49566,28586,Himachal Pradesh,59,104069,132714,134857,104128,3782,781,1,02/03/2021
212835,426670,213803,89510,Himachal Pradesh,83,426587,516180,461964,426670,22058,2302,32,02/04/2021
29428,38734,9306,0,Himachal Pradesh,0,38734,38734,89207,38734,1124,463,0,03/02/2021
55519,106220,50700,33259,Himachal Pradesh,61,106159,139479,136632,106220,4469,806,1,03/03/2021
218989,439029,220005,90345,Himachal Pradesh,83,438946,529374,476168,439029,22426,2319,35,03/04/2021
32587,43053,10466,0,Himachal Pradesh,0,43053,43053,91225,43053,1201,472,0,04/02/2021
57173,110116,52942,38425,Himachal Pradesh,61,110055,148541,140169,110116,4969,840,1,04/03/2021
268087,539485,271327,91704,Himachal Pradesh,2,631187,631189,539485,539485,26950,234,71,04/04/2021
35212,46401,11189,0,Himachal Pradesh,1,46400,46401,92788,46401,1299,474,0,05/02/2021
60002,116257,56252,42212,Himachal Pradesh,66,116191,158469,146237,116257,5370,858,3,05/03/2021
283855,568597,284671,92962,Himachal Pradesh,2,661557,661559,568597,568597,61900,491,71,05/04/2021
37473,49335,11862,0,Himachal Pradesh,1,49334,49335,96681,49335,1356,483,0,06/02/2021
62255,120892,58634,45023,Himachal Pradesh,66,120826,165915,150866,120892,6133,880,3,06/03/2021
297812,594144,296254,94218,Himachal Pradesh,2,688360,688362,594144,594144,82450,671,78,06/04/2021
37473,49338,11865,0,Himachal Pradesh,1,49337,49338,100581,49338,1419,489,0,07/02/2021
63151,122797,59643,45206,Himachal Pradesh,66,122731,168003,152773,122797,6354,884,3,07/03/2021
343198,677374,334084,97794,Himachal Pradesh,2,775166,775168,677374,677374,67400,555,92,07/04/2021
39981,52715,12734,0,Himachal Pradesh,3,52712,52715,104682,52715,1536,501,0,08/02/2021
65740,128118,62375,48084,Himachal Pradesh,67,128051,176202,158129,128118,7954,910,3,08/03/2021
378478,741610,363032,100199,Himachal Pradesh,2,841807,841809,741610,741610,95050,799,100,08/04/2021
42386,56021,13635,0,Himachal Pradesh,26,55995,56021,108569,56021,1654,551,0,09/02/2021
71956,141523,69562,51464,Himachal Pradesh,70,141453,192987,171701,141523,8893,922,5,09/03/2021
403640,788372,384626,102907,Himachal Pradesh,2,891277,891279,788372,788372,76900,611,106,09/04/2021
42975,60848,17873,0,Himachal Pradesh,26,60822,60848,111776,60848,1780,590,0,10/02/2021
74894,148136,73236,54623,Himachal Pradesh,73,148063,202759,178066,148136,10013,952,6,10/03/2021
430612,837398,406672,105435,Himachal Pradesh,2,942831,942833,837398,837398,76850,641,114,10/04/2021
43797,66825,23028,0,Himachal Pradesh,33,66792,66825,115690,66825,1966,625,0,11/02/2021
75050,148566,73510,54874,Himachal Pradesh,80,148486,203440,178484,148566,11675,1028,6,11/03/2021
451220,876538,425196,107374,Himachal Pradesh,2,983910,983912,876538,876538,76100,624,122,11/04/2021
45637,73945,28307,0,Himachal Pradesh,33,73912,73945,121947,73945,2033,642,1,12/02/2021
80994,161526,80526,61106,Himachal Pradesh,80,161446,222632,191730,161526,13290,1143,6,12/03/2021
485220,940171,454818,111049,Himachal Pradesh,2,1051218,1051220,940171,940171,112850,934,133,12/04/2021
46171,76743,30571,449,Himachal Pradesh,33,76710,77192,125729,76743,2050,642,1,13/02/2021
83369,166370,82994,63182,Himachal Pradesh,80,166290,229552,196384,166370,13974,1233,7,13/03/2021
514043,996913,482731,114950,Himachal Pradesh,2,1111861,1111863,996913,996913,106850,866,139,13/04/2021
46171,76743,30571,449,Himachal Pradesh,33,76710,77192,125744,76743,2097,645,1,14/02/2021
83945,167554,83602,63320,Himachal Pradesh,80,167474,230874,197650,167554,14214,1249,7,14/03/2021
535818,1039677,503714,118201,Himachal Pradesh,2,1157876,1157878,1039677,1039677,105750,908,145,14/04/2021
47133,79084,31950,1868,Himachal Pradesh,33,79051,80952,126342,79084,2179,664,1,15/02/2021
88068,176507,88432,66402,Himachal Pradesh,80,176427,242909,206909,176507,14531,1314,7,15/03/2021
552011,1070578,518419,121952,Himachal Pradesh,2,1192528,1192530,1070578,1070578,80450,677,148,15/04/2021
86,202,116,0,Himachal Pradesh,0,202,202,71601,202,34,30,0,16/01/2021
48161,81911,33749,2807,Himachal Pradesh,33,81878,84718,128229,81911,2292,687,1,16/02/2021
100745,202890,102134,70131,Himachal Pradesh,80,202810,273021,233707,202890,15055,1394,11,16/03/2021
574423,1112736,538160,128855,Himachal Pradesh,2,1241589,1241591,1112736,1112736,78200,645,153,16/04/2021
86,202,116,0,Himachal Pradesh,0,202,202,71708,202,123,89,0,17/01/2021
49664,86419,36754,4197,Himachal Pradesh,33,86386,90616,132079,86419,2444,704,1,17/02/2021
104096,210108,106000,72180,Himachal Pradesh,80,210028,282288,240814,210108,15512,1430,12,17/03/2021
590179,1143738,553402,134355,Himachal Pradesh,2,1278091,1278093,1143738,1143738,66000,546,157,17/04/2021
174,352,178,0,Himachal Pradesh,0,352,352,71146,352,137,91,0,18/01/2021
45676,83703,38026,4917,Himachal Pradesh,34,83669,88620,129227,83703,2581,707,1,18/02/2021
114323,231110,116774,74469,Himachal Pradesh,80,231030,305579,262308,231110,15854,1535,13,18/03/2021
594787,1153059,558113,136443,Himachal Pradesh,2,1289500,1289502,1153059,1153059,41750,328,159,18/04/2021
223,448,225,0,Himachal Pradesh,0,448,448,72045,448,139,91,0,19/01/2021
51266,92440,41173,8208,Himachal Pradesh,34,92406,100648,136335,92440,2682,717,1,19/02/2021
121275,245416,124127,77241,Himachal Pradesh,80,245336,322657,277246,245416,16096,1553,14,19/03/2021
611356,1184950,573430,143710,Himachal Pradesh,2,1328658,1328660,1184950,1184950,82900,703,164,19/04/2021
223,448,225,0,Himachal Pradesh,0,448,448,72151,448,198,119,0,20/01/2021
51730,94569,42838,11831,Himachal Pradesh,38,94531,106400,136417,94569,2761,724,1,20/02/2021
124955,253090,128120,79319,Himachal Pradesh,80,253010,332409,284642,253090,16369,1604,15,20/03/2021
632709,1225885,593001,152805,Himachal Pradesh,2,1378688,1378690,1225885,1225885,89600,730,175,20/04/2021
338,610,272,0,Himachal Pradesh,0,610,610,73121,610,274,160,0,21/01/2021
125617,254397,128765,79460,Himachal Pradesh,80,254317,333857,285912,254397,16543,1615,15,21/03/2021
642140,1244615,602295,156185,Himachal Pradesh,2,1400798,1400800,1244615,1244615,93720,845,180,21/04/2021
918,1427,509,0,Himachal Pradesh,0,1427,1427,74664,1427,338,196,0,22/01/2021
128635,260721,132071,80774,Himachal Pradesh,81,260640,341495,292357,260721,16788,1650,15,22/03/2021
664479,1286057,621388,165345,Himachal Pradesh,2,1451400,1451402,1286057,1286057,95800,824,190,22/04/2021
3917,5396,1479,0,Himachal Pradesh,0,5396,5396,75909,5396,362,207,0,23/01/2021
136995,277566,140555,82580,Himachal Pradesh,82,277484,360146,309630,277566,17234,1719,16,23/03/2021
683510,1322767,639059,175221,Himachal Pradesh,2,1497986,1497988,1322767,1322767,99800,848,198,23/04/2021
4036,5594,1558,0,Himachal Pradesh,0,5594,5594,76519,5594,401,223,0,24/01/2021
52625,98414,45788,12506,Himachal Pradesh,49,98365,110920,136420,98414,3114,746,1,24/02/2021
141358,287058,145683,83527,Himachal Pradesh,83,286975,370585,319107,287058,17866,1847,17,24/03/2021
699681,1354936,655054,182623,Himachal Pradesh,2,1537557,1537559,1354936,1354936,61050,531,201,24/04/2021
4400,6104,1704,0,Himachal Pradesh,0,6104,6104,77664,6104,414,231,0,25/01/2021
53296,100164,46867,16654,Himachal Pradesh,51,100113,116818,136421,100164,3222,748,1,25/02/2021
156533,316973,160419,84551,Himachal Pradesh,83,316890,401524,350069,316973,18500,1947,21,25/03/2021
703782,1363273,659285,185235,Himachal Pradesh,2,1548506,1548508,1363273,1363273,30550,268,206,25/04/2021
4466,6188,1722,0,Himachal Pradesh,0,6188,6188,77995,6188,440,241,0,26/01/2021
53438,100927,47488,20493,Himachal Pradesh,59,100868,121420,132642,100927,3247,748,1,26/02/2021
164567,333201,168612,85759,Himachal Pradesh,83,333118,418960,366312,333201,19205,2059,22,26/03/2021
720981,1396626,675434,196724,Himachal Pradesh,2,1593348,1593350,1396626,1396626,88150,769,211,26/04/2021
6500,8859,2359,0,Himachal Pradesh,0,8859,8859,78308,8859,511,279,0,27/01/2021
172602,349306,176679,86262,Himachal Pradesh,83,349223,435568,382570,349306,19686,2124,25,27/03/2021
740628,1434382,693539,210071,Himachal Pradesh,2,1644451,1644453,1434382,1434382,86150,718,215,27/04/2021
10454,13883,3429,0,Himachal Pradesh,0,13883,13883,80299,13883,565,302,0,28/01/2021
53438,100927,47488,20493,Himachal Pradesh,59,100868,121420,132643,100927,3293,750,1,28/02/2021
173042,350099,177032,86279,Himachal Pradesh,83,350016,436378,383396,350099,19855,2136,25,28/03/2021
13594,17978,4384,0,Himachal Pradesh,0,17978,17978,82051,17978,615,324,0,29/01/2021
173444,350847,177378,86307,Himachal Pradesh,83,350764,437154,384156,350847,20072,2154,25,29/03/2021
17326,22787,5461,0,Himachal Pradesh,0,22787,22787,84385,22787,673,346,0,30/01/2021
184575,372928,188328,87419,Himachal Pradesh,83,372845,460347,406568,372928,20438,2184,25,30/03/2021
188071,380195,192098,88044,Himachal Pradesh,83,380112,468239,414038,380195,20964,2217,26,31/03/2021
2197431,3350265,1152344,0,India,69372,3280893,3350265,10207981,3350265,97432,27751,490,01/02/2021
5131373,11141651,6008960,2419557,India,1244273,9897378,13561208,17917688,11141651,401961,50243,1318,01/03/2021
24825748,52637731,27806633,8898263,India,4771380,47866351,61535994,59583984,52637731,2673997,119512,5350,01/04/2021
2308898,3527971,1218507,0,India,76794,3451177,3527971,10366074,3527971,106461,29522,566,02/02/2021
5422470,11886320,6462436,2647634,India,1277711,10608609,14533954,18560310,11886320,448977,51350,1414,02/03/2021
26294224,55674249,29374352,9105418,India,4964032,50710217,64779667,62638870,55674249,2803969,122375,5673,02/04/2021
